"state","scenario","product","year_offset","bio_Tg"
"MA","reserve (no harvest)","sawtimber",10,40.659
"MA","reserve (no harvest)","sawtimber",20,42.671
"MA","reserve (no harvest)","sawtimber",30,44.204
"MA","reserve (no harvest)","sawtimber",40,44.92
"MA","reserve (no harvest)","sawtimber",50,45.775
"MA","reserve (no harvest)","sawtimber",60,45.845
"MA","reserve (no harvest)","sawtimber",70,45.853
"MA","reserve (no harvest)","sawtimber",80,45.512
"MA","reserve (no harvest)","sawtimber",90,44.978
"MA","reserve (no harvest)","sawtimber",100,44.225
"MA","reserve (no harvest)","pulpwood",0,24.548
"MA","reserve (no harvest)","pulpwood",10,24.741
"MA","reserve (no harvest)","pulpwood",20,25.892
"MA","reserve (no harvest)","pulpwood",30,26.582
"MA","reserve (no harvest)","pulpwood",40,27.21
"MA","reserve (no harvest)","pulpwood",50,27.178
"MA","reserve (no harvest)","pulpwood",60,27.549
"MA","reserve (no harvest)","pulpwood",70,27.656
"MA","reserve (no harvest)","pulpwood",80,27.676
"MA","reserve (no harvest)","pulpwood",90,27.561
"MA","reserve (no harvest)","pulpwood",100,27.279
"MA","reserve (no harvest)","residue",0,47.764
